SeqNum,PlateBoundIdentifer,PlateBoundContinuity,StartLong,StartLat,FinalLong,FinalLat,StepLength(km),AzimuthCenter,VelocityLeft,VelocityAzimuth,VelocityDivergent,VelocityRightLateral,Elevation,SeafloorAge,StepClass,StepContinuity,Orogen,geometry
1601,SB/SS,True,151.148,-6.443,151.519,-6.21,48.5,58,113.1,180,-95.4,-60.8,-6007,220,SUB,True,False,"LINESTRING (151.148 -6.443, 151.519 -6.21)"
1602,SB/SS,True,151.519,-6.21,151.876,-5.926,50.6,51,119.9,178,-96.2,-71.6,-5451,220,SUB,True,False,"LINESTRING (151.519 -6.21, 151.876 -5.926)"
1603,SB/SS,True,151.876,-5.926,152.257,-5.755,46.2,66,127.0,176,-119.1,-44.1,-5440,220,SUB,True,False,"LINESTRING (151.876 -5.926, 152.257 -5.755)"
1604,SB/SS,True,152.257,-5.755,152.653,-5.64,45.6,74,134.4,175,-131.8,-26.4,-6109,220,SUB,True,False,"LINESTRING (152.257 -5.755, 152.653 -5.64)"
1605,SB/SS,True,152.653,-5.64,153.107,-5.741,51.5,103,142.3,175,-135.9,42.2,-5617,220,SUB,True,False,"LINESTRING (152.653 -5.64, 153.107 -5.741)"
1615,SS\WL,False,148.587,-7.395,148.733,-7.475,18.4,119,13.0,231,-12.1,-4.8,-5174,220,SUB,False,False,"LINESTRING (148.587 -7.395, 148.733 -7.475)"
1616,SS\WL,True,148.733,-7.475,148.944,-7.607,27.5,122,13.0,231,-12.3,-4.1,-5654,220,SUB,True,False,"LINESTRING (148.733 -7.475, 148.944 -7.607)"
1617,SS\WL,True,148.944,-7.607,149.148,-7.665,23.4,106,13.0,231,-10.7,-7.4,-5297,220,SUB,True,False,"LINESTRING (148.944 -7.607, 149.148 -7.665)"
1618,SS\WL,True,149.148,-7.665,149.334,-7.665,20.5,90,13.0,231,-8.3,-10.0,-5441,220,SUB,True,False,"LINESTRING (149.148 -7.665, 149.334 -7.665)"
1619,SS\WL,True,149.334,-7.665,149.609,-7.624,30.6,82,13.0,231,-6.7,-11.1,-5338,220,SUB,True,False,"LINESTRING (149.334 -7.665, 149.609 -7.624)"
1620,SS\WL,True,149.609,-7.624,149.866,-7.612,28.4,87,13.0,230,-7.8,-10.4,-5078,220,SUB,True,False,"LINESTRING (149.609 -7.624, 149.866 -7.612)"
1621,SS\WL,True,149.866,-7.612,150.173,-7.629,33.9,93,13.0,230,-8.8,-9.6,-4702,220,SUB,True,False,"LINESTRING (149.866 -7.612, 150.173 -7.629)"
1622,SS\WL,True,150.173,-7.629,150.555,-7.687,42.6,99,13.0,230,-9.7,-8.6,-4786,220,SUB,True,False,"LINESTRING (150.173 -7.629, 150.555 -7.687)"
1623,SS\WL,True,150.555,-7.687,150.917,-7.757,40.6,101,13.0,230,-10.1,-8.2,-4983,220,SUB,True,False,"LINESTRING (150.555 -7.687, 150.917 -7.757)"
1624,SS\WL,True,150.917,-7.757,151.307,-7.852,44.2,104,13.0,230,-10.5,-7.7,-4618,220,SUB,True,False,"LINESTRING (150.917 -7.757, 151.307 -7.852)"
1625,SS\WL,True,151.307,-7.852,151.68,-7.955,42.7,106,13.0,230,-10.7,-7.4,-4977,220,SUB,True,False,"LINESTRING (151.307 -7.852, 151.68 -7.955)"
1626,SS\WL,True,151.68,-7.955,152.062,-8.104,45.2,111,13.0,230,-11.4,-6.3,-4982,220,SUB,True,False,"LINESTRING (151.68 -7.955, 152.062 -8.104)"
1627,SS\WL,True,152.062,-8.104,152.411,-8.26,42.2,114,13.0,230,-11.7,-5.6,-5029,220,SUB,True,False,"LINESTRING (152.062 -8.104, 152.411 -8.26)"
1628,SS\WL,True,152.411,-8.26,152.685,-8.388,33.3,115,13.0,230,-11.8,-5.5,-4953,220,SUB,True,False,"LINESTRING (152.411 -8.26, 152.685 -8.388)"
1629,SS\WL,True,152.685,-8.388,152.959,-8.544,34.8,120,13.0,230,-12.2,-4.4,-4419,220,SUB,True,False,"LINESTRING (152.685 -8.388, 152.959 -8.544)"
1630,SS\WL,True,152.959,-8.544,153.108,-8.684,22.6,134,13.0,230,-12.9,-1.5,-3938,220,SUB,True,False,"LINESTRING (152.959 -8.544, 153.108 -8.684)"
1634,AU-WL,False,151.654,-9.76,151.545,-9.676,15.2,308,23.0,170,15.3,-17.2,-2782,220,OSR,False,False,"LINESTRING (151.654 -9.76, 151.545 -9.676)"
1635,AU-WL,True,151.545,-9.676,151.005,-9.681,59.2,269,21.9,169,21.5,-4.0,-1561,220,CRB,False,False,"LINESTRING (151.545 -9.676, 151.005 -9.681)"
1636,AU-WL,True,151.005,-9.681,150.466,-9.687,59.1,269,20.0,168,19.6,-4.0,-26,220,CRB,True,False,"LINESTRING (151.005 -9.681, 150.466 -9.687)"
1637,AU-WL,True,150.466,-9.687,150.245,-9.945,37.6,220,18.6,168,14.6,11.6,-858,220,CRB,True,False,"LINESTRING (150.466 -9.687, 150.245 -9.945)"
1638,AU-WL,True,150.245,-9.945,149.676,-9.801,64.4,284,17.2,168,15.4,-7.6,-268,220,CRB,True,False,"LINESTRING (150.245 -9.945, 149.676 -9.801)"
1639,AU-WL,True,149.676,-9.801,149.133,-9.353,77.7,310,15.6,163,8.5,-13.0,-11,220,CRB,True,False,"LINESTRING (149.676 -9.801, 149.133 -9.353)"
1640,AU-WL,True,149.133,-9.353,148.751,-9.57,48.4,240,14.1,160,13.9,2.3,105,220,CRB,True,False,"LINESTRING (149.133 -9.353, 148.751 -9.57)"
1641,AU-WL,True,148.751,-9.57,148.207,-9.212,71.7,304,12.7,156,6.8,-10.7,33,220,CRB,True,False,"LINESTRING (148.751 -9.57, 148.207 -9.212)"
1642,AU-WL,True,148.207,-9.212,147.539,-8.886,81.8,296,11.4,146,5.7,-9.9,154,220,CRB,True,False,"LINESTRING (148.207 -9.212, 147.539 -8.886)"
1643,AU-WL,True,147.539,-8.886,146.954,-8.598,71.8,296,10.4,134,3.1,-9.9,2467,220,CTF,False,False,"LINESTRING (147.539 -8.886, 146.954 -8.598)"
2616,PA\OK,False,144.454,40.847,144.479,40.549,33.2,176,91.1,295,-79.6,-44.4,-6772,260,SUB,False,False,"LINESTRING (144.454 40.847, 144.479 40.549)"
2617,PA\OK,True,144.479,40.549,144.399,40.367,21.4,198,91.2,295,-90.5,-11.1,-7006,244,SUB,True,False,"LINESTRING (144.479 40.549, 144.399 40.367)"
2618,PA\OK,True,144.399,40.367,144.328,40.203,19.2,198,91.3,295,-90.5,-11.3,-6956,234,SUB,True,False,"LINESTRING (144.399 40.367, 144.328 40.203)"
2619,PA\OK,True,144.328,40.203,144.283,40.067,15.6,194,91.3,295,-89.6,-17.6,-7014,233,SUB,True,False,"LINESTRING (144.328 40.203, 144.283 40.067)"
2620,PA\OK,True,144.283,40.067,144.254,39.928,15.7,189,91.4,295,-87.7,-25.6,-6843,232,SUB,True,False,"LINESTRING (144.283 40.067, 144.254 39.928)"
2621,PA\OK,True,144.254,39.928,144.225,39.767,18.1,188,91.4,295,-87.2,-27.4,-6897,244,SUB,True,False,"LINESTRING (144.254 39.928, 144.225 39.767)"
2622,PA\OK,True,144.225,39.767,144.236,39.557,23.3,178,91.5,295,-81.1,-42.4,-6833,247,SUB,True,False,"LINESTRING (144.225 39.767, 144.236 39.557)"
2623,PA\OK,True,144.236,39.557,144.203,39.374,20.6,188,91.6,295,-87.4,-27.3,-6684,252,SUB,True,False,"LINESTRING (144.236 39.557, 144.203 39.374)"
2624,PA\OK,True,144.203,39.374,144.189,39.123,27.9,182,91.6,295,-84.5,-35.4,-6673,221,SUB,True,False,"LINESTRING (144.203 39.374, 144.189 39.123)"
2625,PA\OK,True,144.189,39.123,144.119,38.909,24.6,194,91.7,295,-90.0,-17.4,-6841,238,SUB,True,False,"LINESTRING (144.189 39.123, 144.119 38.909)"
2626,PA\OK,True,144.119,38.909,144.061,38.709,22.7,193,91.8,295,-89.7,-19.6,-6804,153,SUB,True,False,"LINESTRING (144.119 38.909, 144.061 38.709)"
2627,PA\OK,True,144.061,38.709,144.017,38.536,19.7,191,91.8,295,-89.2,-22.1,-6986,209,SUB,True,False,"LINESTRING (144.061 38.709, 144.017 38.536)"
2628,PA\OK,True,144.017,38.536,143.973,38.359,20.1,191,91.9,295,-89.2,-22.3,-6931,195,SUB,True,False,"LINESTRING (144.017 38.536, 143.973 38.359)"
2629,PA\OK,True,143.973,38.359,143.928,38.166,21.8,190,92.0,295,-89.0,-23.2,-6889,195,SUB,True,False,"LINESTRING (143.973 38.359, 143.928 38.166)"
2630,PA\OK,True,143.928,38.166,143.888,37.928,26.6,188,92.0,295,-87.8,-27.5,-6920,249,SUB,True,False,"LINESTRING (143.928 38.166, 143.888 37.928)"
2631,PA\OK,True,143.888,37.928,143.843,37.71,24.6,189,92.1,295,-88.7,-24.9,-6811,176,SUB,True,False,"LINESTRING (143.888 37.928, 143.843 37.71)"
